Time-Stamp, Data-Prefix, Data-Size, Information loss, Average-Risk, Lowest-Risk, Highest-Risk, Avg EquivClassSize, Max EquivClassSize, NumOfEquivClasses, NumOfRecordsSuppressedRecords, NumOfSuppressedRecords, privacyModel1, privacyModel2
2023-11-21 15:59:11.271, zfkd_, 10, 1.0000000000000004, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]0, [Inzidenzort, Age]4
2023-11-21 15:59:11.294, zfkd_, 10, 1.0000000000000004, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]1, [Inzidenzort, Age]4
2023-11-21 15:59:11.329, zfkd_, 10, 1.0000000000000004, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]2, [Inzidenzort, Age]4
2023-11-21 15:59:11.524, zfkd_, 10, 1.0000000000000004, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]3, [Inzidenzort, Age]4
2023-11-21 15:59:11.593, zfkd_, 10, 0.8559214542647005, 0.2, 0.2, 0.2, 5, 5, 1, 10, 5, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]4, [Inzidenzort, Age]4
2023-11-21 15:59:11.607, zfkd_, 10, 0.5705625318974092, 0.3, 0.25, 0.3333333333333333, 3, 4, 3, 10, 0, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]5, [Inzidenzort, Age]4
2023-11-21 15:59:11.638, zfkd_, 10, 1.0000000000000004, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]0, [Inzidenzort, Age]4
2023-11-21 15:59:11.671, zfkd_, 10, 1.0000000000000004, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]1, [Inzidenzort, Age]4
2023-11-21 15:59:11.7, zfkd_, 10, 1.0000000000000004, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]2, [Inzidenzort, Age]4
2023-11-21 15:59:11.721, zfkd_, 10, 1.0000000000000004, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]3, [Inzidenzort, Age]4
2023-11-21 15:59:11.743, zfkd_, 10, 0.8559214542647005, 0.2, 0.2, 0.2, 5, 5, 1, 10, 5, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]4, [Inzidenzort, Age]4
2023-11-21 15:59:11.757, zfkd_, 10, 0.5705625318974092, 0.3, 0.25, 0.3333333333333333, 3, 4, 3, 10, 0, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]5, [Inzidenzort, Age]4
2023-11-21 15:59:11.773, zfkd_, 10, 1.0000000000000004, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]0, [Inzidenzort, Age]4
2023-11-21 15:59:11.794, zfkd_, 10, 1.0000000000000004, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]1, [Inzidenzort, Age]4
2023-11-21 15:59:11.815, zfkd_, 10, 1.0000000000000004, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]2, [Inzidenzort, Age]4
2023-11-21 15:59:11.869, zfkd_, 10, 1.0000000000000004, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]3, [Inzidenzort, Age]4
2023-11-21 15:59:11.879, zfkd_, 10, 0.8559214542647005, 0.2, 0.2, 0.2, 5, 5, 1, 10, 5, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]4, [Inzidenzort, Age]4
2023-11-21 15:59:11.898, zfkd_, 10, 0.5705625318974092, 0.3, 0.25, 0.3333333333333333, 3, 4, 3, 10, 0, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]5, [Inzidenzort, Age]4
2023-11-21 15:59:11.927, zfkd_, 10, 1.0000000000000004, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]0, [Inzidenzort, Age]4
2023-11-21 15:59:12.043, zfkd_, 10, 1.0000000000000004, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]1, [Inzidenzort, Age]4
2023-11-21 15:59:12.071, zfkd_, 10, 1.0000000000000004, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]2, [Inzidenzort, Age]4
2023-11-21 15:59:12.091, zfkd_, 10, 1.0000000000000004, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]3, [Inzidenzort, Age]4
2023-11-21 15:59:12.098, zfkd_, 10, 0.8559214542647005, 0.2, 0.2, 0.2, 5, 5, 1, 10, 5, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]4, [Inzidenzort, Age]4
2023-11-21 15:59:12.181, zfkd_, 10, 0.5705625318974092, 0.3, 0.25, 0.3333333333333333, 3, 4, 3, 10, 0, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]5, [Inzidenzort, Age]4
2023-11-21 15:59:12.231, zfkd_, 10, 1.0000000000000004, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]0, [Inzidenzort, Age]4
2023-11-21 15:59:12.245, zfkd_, 10, 1.0000000000000004, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]1, [Inzidenzort, Age]4
2023-11-21 15:59:12.264, zfkd_, 10, 1.0000000000000004, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]2, [Inzidenzort, Age]4
2023-11-21 15:59:12.272, zfkd_, 10, 1.0000000000000004, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]3, [Inzidenzort, Age]4
2023-11-21 15:59:12.301, zfkd_, 10, 0.8559214542647005, 0.2, 0.2, 0.2, 5, 5, 1, 10, 5, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]4, [Inzidenzort, Age]4
2023-11-21 15:59:12.308, zfkd_, 10, 0.5705625318974092, 0.3, 0.25, 0.3333333333333333, 3, 4, 3, 10, 0, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]5, [Inzidenzort, Age]4
2023-11-21 15:59:12.458, zfkd_, 100, 0.5748015748023625, 0.2631578947368421, 0.2, 0.3333333333333333, 3, 5, 20, 100, 24, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]0, [Inzidenzort, Age]4
2023-11-21 15:59:12.488, zfkd_, 100, 0.5748015748023625, 0.2631578947368421, 0.2, 0.3333333333333333, 3, 5, 20, 100, 24, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]1, [Inzidenzort, Age]4
2023-11-21 15:59:12.511, zfkd_, 100, 0.5748015748023625, 0.2631578947368421, 0.2, 0.3333333333333333, 3, 5, 20, 100, 24, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]2, [Inzidenzort, Age]4
2023-11-21 15:59:12.562, zfkd_, 100, 0.5469834823294009, 0.20731707317073172, 0.1, 0.3333333333333333, 4, 10, 17, 100, 18, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]3, [Inzidenzort, Age]4
2023-11-21 15:59:12.613, zfkd_, 100, 0.3844325397410919, 0.16049382716049382, 0.06666666666666667, 0.3333333333333333, 6, 15, 13, 100, 19, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]4, [Inzidenzort, Age]4
2023-11-21 15:59:12.647, zfkd_, 100, 0.5015025154158086, 0.12903225806451613, 0.05555555555555555, 0.3333333333333333, 7, 18, 12, 100, 7, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]5, [Inzidenzort, Age]4
2023-11-21 15:59:12.67, zfkd_, 100, 0.5748015748023625, 0.2631578947368421, 0.2, 0.3333333333333333, 3, 5, 20, 100, 24, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]0, [Inzidenzort, Age]4
2023-11-21 15:59:12.689, zfkd_, 100, 0.5748015748023625, 0.2631578947368421, 0.2, 0.3333333333333333, 3, 5, 20, 100, 24, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]1, [Inzidenzort, Age]4
2023-11-21 15:59:12.698, zfkd_, 100, 0.5748015748023625, 0.2631578947368421, 0.2, 0.3333333333333333, 3, 5, 20, 100, 24, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]2, [Inzidenzort, Age]4
2023-11-21 15:59:12.721, zfkd_, 100, 0.5469834823294009, 0.20731707317073172, 0.1, 0.3333333333333333, 4, 10, 17, 100, 18, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]3, [Inzidenzort, Age]4
2023-11-21 15:59:12.743, zfkd_, 100, 0.3844325397410919, 0.16049382716049382, 0.06666666666666667, 0.3333333333333333, 6, 15, 13, 100, 19, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]4, [Inzidenzort, Age]4
2023-11-21 15:59:13.075, zfkd_, 100, 0.5015025154158086, 0.12903225806451613, 0.05555555555555555, 0.3333333333333333, 7, 18, 12, 100, 7, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]5, [Inzidenzort, Age]4
2023-11-21 15:59:13.119, zfkd_, 100, 0.5748015748023625, 0.2631578947368421, 0.2, 0.3333333333333333, 3, 5, 20, 100, 24, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]0, [Inzidenzort, Age]4
2023-11-21 15:59:13.153, zfkd_, 100, 0.5748015748023625, 0.2631578947368421, 0.2, 0.3333333333333333, 3, 5, 20, 100, 24, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]1, [Inzidenzort, Age]4
2023-11-21 15:59:13.165, zfkd_, 100, 0.5748015748023625, 0.2631578947368421, 0.2, 0.3333333333333333, 3, 5, 20, 100, 24, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]2, [Inzidenzort, Age]4
2023-11-21 15:59:13.2, zfkd_, 100, 0.5469834823294009, 0.20731707317073172, 0.1, 0.3333333333333333, 4, 10, 17, 100, 18, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]3, [Inzidenzort, Age]4
2023-11-21 15:59:13.268, zfkd_, 100, 0.3844325397410919, 0.16049382716049382, 0.06666666666666667, 0.3333333333333333, 6, 15, 13, 100, 19, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]4, [Inzidenzort, Age]4
2023-11-21 15:59:13.291, zfkd_, 100, 0.5015025154158086, 0.12903225806451613, 0.05555555555555555, 0.3333333333333333, 7, 18, 12, 100, 7, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]5, [Inzidenzort, Age]4
2023-11-21 15:59:13.333, zfkd_, 100, 0.5748015748023625, 0.2631578947368421, 0.2, 0.3333333333333333, 3, 5, 20, 100, 24, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]0, [Inzidenzort, Age]4
2023-11-21 15:59:13.355, zfkd_, 100, 0.5748015748023625, 0.2631578947368421, 0.2, 0.3333333333333333, 3, 5, 20, 100, 24, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]1, [Inzidenzort, Age]4
2023-11-21 15:59:13.371, zfkd_, 100, 0.5748015748023625, 0.2631578947368421, 0.2, 0.3333333333333333, 3, 5, 20, 100, 24, (0.5)-avg-reidentification-risk, 3-anonymity, [Inzidenzort, Age]2, [Inzidenzort, Age]4
